product_id,title,genres,emotions
52,Хоббит: Нежданное путешествие (2012),Adventure|Fantasy,волшебное|приключенческое
53,Хоббит: Пустошь Смауга (2013),Adventure|Fantasy,волшебное|приключенческое
54,Хоббит: Битва пяти воинств (2014),Adventure|Fantasy|War,волшебное|драматичное|приключенческое
55,Гарри Поттер и Тайная комната (2002),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
56,Гарри Поттер и узник Азкабана (2004),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
57,Гарри Поттер и Кубок огня (2005),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
58,Гарри Поттер и Орден Феникса (2007),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
59,Гарри Поттер и Принц-полукровка (2009),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
60,Гарри Поттер и Дары Смерти. Часть 1 (2010),Adventure|Children|Fantasy|Mystery,волшебное|загадочное|приключенческое|семейное
61,Гарри Поттер и Дары Смерти. Часть 2 (2011),Adventure|Children|Fantasy|Mystery,волшебное|загадочное|приключенческое|семейное
62,Маленькие женщины (2019),Drama|Romance,романтическое
63,Омерзительная восьмёрка (2015),Crime|Drama|Mystery|Western,загадочное|напряжённое|приключенческое|эмоциональное
64,Сплит (2016),Horror|Thriller,страшное
65,Прочь (2017),Horror|Mystery|Thriller,загадочное|страшное
66,Дюнкерк (2017),Action|Drama|Thriller|War,динамичное|драматичное|напряжённое|эмоциональное
67,Лига справедливости (2017),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
68,Чудо-женщина (2017),Action|Adventure|Fantasy|Sci-Fi|War,волшебное|динамичное|драматичное|приключенческое|футуристическое
69,Логан (2017),Action|Drama|Sci-Fi|Thriller,динамичное|напряжённое|футуристическое|эмоциональное
70,Звёздные войны: Последние джедаи (2017),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
71,Звёздные войны: Скайуокер. Восход (2019),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
72,Звёздные войны: Солдаты Республики (2005),Action|Adventure|Animation|Sci-Fi,динамичное|лёгкое|приключенческое|футуристическое
73,Звёздные войны: Атака клонов (2002),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
74,Звёздные войны: Месть ситхов (2005),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
75,Гравитация (2013),Drama|Sci-Fi|Thriller,напряжённое|футуристическое|эмоциональное
76,Грань будущего (2014),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
77,Марсианин (2015),Adventure|Drama|Sci-Fi,приключенческое|футуристическое|эмоциональное
78,Пассажиры (2016),Drama|Romance|Sci-Fi,романтическое|футуристическое
79,Прибытие (2016),Drama|Sci-Fi,футуристическое|эмоциональное
80,Бегущий по лезвию 2049 (2017),Drama|Mystery|Sci-Fi|Thriller,загадочное|напряжённое|футуристическое|эмоциональное
81,Доктор Стрэндж (2016),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
82,Чёрная Пантера (2018),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
83,Капитан Марвел (2019),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
84,Человек-паук: Паутина вселенных (2018),Animation|Action|Adventure|Sci-Fi,динамичное|лёгкое|приключенческое|футуристическое
85,Хищные птицы (2020),Action|Adventure|Crime,динамичное|напряжённое|приключенческое
86,Джентльмены (2019),Action|Comedy|Crime,веселое
87,Довод (2020),Action|Sci-Fi|Thriller,динамичное|напряжённое|футуристическое
88,007: Нет времени умирать (2021),Action|Adventure|Thriller,динамичное|напряжённое|приключенческое
89,Дюна (2021),Adventure|Drama|Sci-Fi,приключенческое|футуристическое|эмоциональное
90,Шазам! (2019),Action|Comedy|Fantasy,веселое
91,Джокер: Безумие на двоих (2024),Animation|Comedy|Crime|Musical,веселое
92,Оппенгеймер (2023),Biography|Drama|History,драматичное|эмоциональное
93,Барби (2023),Adventure|Comedy|Fantasy,веселое
94,Дюна: Часть вторая (2024),Adventure|Drama|Sci-Fi,приключенческое|футуристическое|эмоциональное
95,Брат (1997),Crime|Drama|Thriller,напряжённое|эмоциональное
96,Брат 2 (2000),Crime|Drama|Thriller,напряжённое|эмоциональное
97,9 рота (2005),Drama|War,драматичное|эмоциональное
98,Война миров Z (2013),Action|Adventure|Horror|Sci-Fi,динамичное|приключенческое|страшное|футуристическое
99,Человек-паук: Нет пути домой (2021),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
100,Всё везде и сразу (2022),Action|Adventure|Comedy|Sci-Fi,веселое
101,Аквамен (2018),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
102,Чёрная вдова (2021),Action|Adventure|Sci-Fi|Thriller,динамичное|напряжённое|приключенческое|футуристическое
103,Ночной кошмар перед Рождеством (1993),Animation|Comedy|Fantasy|Musical,веселое
104,Тихое место 2 (2020),Drama|Horror|Sci-Fi|Thriller,страшное|футуристическое|эмоциональное
105,Крик (2022),Horror|Mystery|Thriller,загадочное|страшное
106,Крик VI (2023),Horror|Mystery|Thriller,загадочное|страшное
107,Нет (2022),Horror|Mystery|Sci-Fi|Thriller,загадочное|страшное|футуристическое
108,Сияние (1980),Drama|Horror,страшное|эмоциональное
109,Чужие (1986),Action|Adventure|Horror|Sci-Fi,динамичное|приключенческое|страшное|футуристическое
110,Терминатор (1984),Action|Sci-Fi,динамичное|футуристическое
111,Доктор Стрэндж: В мультивселенной безумия (2022),Action|Adventure|Fantasy|Horror|Sci-Fi,волшебное|динамичное|приключенческое|страшное|футуристическое
112,Тор: Любовь и гром (2022),Action|Adventure|Comedy|Fantasy|Sci-Fi,веселое
113,День сурка (1993),Comedy|Fantasy|Romance,веселое
114,Миссия невыполнима: Смертельная расплата. Часть 1 (2023),Action|Adventure|Thriller,динамичное|напряжённое|приключенческое
115,Чёрная Пантера: Ваканда навеки (2022),Action|Adventure|Drama,динамичное|приключенческое|эмоциональное
116,Молчание ягнят (1991),Crime|Drama|Thriller,напряжённое|эмоциональное
117,Таксист (1976),Crime|Drama,напряжённое|эмоциональное
118,Один дома (1990),Children|Comedy,веселое
119,Один дома 2: Затерянный в Нью-Йорке (1992),Children|Comedy,веселое
120,Кролик Питер (2018),Animation|Comedy|Family,веселое
121,Холодное сердце (2013),Animation|Adventure|Children|Comedy|Fantasy|Musical|Romance,веселое
122,Холодное сердце 2 (2019),Animation|Adventure|Children|Comedy|Fantasy|Musical,веселое
123,Рапунцель: Запутанная история (2010),Animation|Adventure|Children|Comedy|Fantasy|Musical|Romance,веселое
124,Моана (2016),Animation|Adventure|Children|Comedy|Fantasy|Musical,веселое
125,Головоломка (2015),Animation|Adventure|Children|Comedy|Drama|Family|Fantasy,веселое
126,Вверх (2009),Animation|Adventure|Children|Comedy|Drama,веселое
127,Рататуй (2007),Animation|Children|Comedy|Drama,веселое
128,Король Лев (1994),Animation|Children|Drama|Musical|Romance,лёгкое|музыкальное|романтическое|семейное
129,Король Лев (2019),Adventure|Children|Drama|Musical,музыкальное|приключенческое|семейное|эмоциональное
130,Аладдин (1992),Animation|Adventure|Children|Comedy|Fantasy|Musical|Romance,веселое
131,Аладдин (2019),Adventure|Comedy|Family|Fantasy|Musical|Romance,веселое
132,Мулан (1998),Animation|Adventure|Children|Drama|Musical|Romance|War,драматичное|лёгкое|музыкальное|приключенческое|романтическое|семейное
133,Мулан (2020),Action|Adventure|Drama|Family|Fantasy|War,волшебное|динамичное|драматичное|приключенческое|эмоциональное
134,Красавица и чудовище (1991),Animation|Children|Fantasy|Musical|Romance,волшебное|лёгкое|музыкальное|романтическое|семейное
135,Красавица и чудовище (2017),Adventure|Family|Fantasy|Musical|Romance,волшебное|музыкальное|приключенческое|романтическое
136,Русалочка (1989),Animation|Children|Fantasy|Musical|Romance,волшебное|лёгкое|музыкальное|романтическое|семейное
137,Русалочка (2023),Adventure|Family|Fantasy|Musical|Romance,волшебное|музыкальное|приключенческое|романтическое
138,Спящая красавица (1959),Animation|Children|Fantasy|Musical|Romance,волшебное|лёгкое|музыкальное|романтическое|семейное
139,Золушка (1950),Animation|Children|Fantasy|Musical|Romance,волшебное|лёгкое|музыкальное|романтическое|семейное
140,Золушка (2015),Children|Drama|Fantasy|Romance,волшебное|романтическое|семейное
141,"Хроники Нарнии: Лев, колдунья и волшебный шкаф (2005)",Adventure|Children|Fantasy,волшебное|приключенческое|семейное
142,Хроники Нарнии: Принц Каспиан (2008),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
143,Хроники Нарнии: Покоритель зари (2010),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
144,Аватар: Путь воды (2022),Action|Adventure|Drama|Sci-Fi,динамичное|приключенческое|футуристическое|эмоциональное
145,Топ Ган: Мэверик (2022),Action|Drama,динамичное|эмоциональное
146,Элвис (2022),Biography|Drama|Musical,музыкальное|эмоциональное
147,Холоп (2019),Comedy,веселое
148,Т-34 (2018),Action|Drama|War,динамичное|драматичное|эмоциональное
149,Майор Гром: Чумной Доктор (2021),Action|Crime|Thriller,динамичное|напряжённое
150,Последний богатырь (2017),Adventure|Comedy|Fantasy,веселое
151,Лёд (2018),Drama|Romance|Sport,динамичное|романтическое
152,Движение вверх (2017),Drama|Sport,динамичное|эмоциональное
153,Собибор (2018),Drama|War|History,драматичное|эмоциональное
154,Солнцепёк (2023),Comedy|Drama,веселое
155,Наследники земли (2023),Drama|Romance,романтическое
156,Москва слезам не верит (1980),Drama|Romance,романтическое
157,Служебный роман (1977),Comedy|Romance,веселое
158,Шан-Чи и легенда десяти колец (2021),Action|Adventure|Fantasy,волшебное|динамичное|приключенческое
159,Этерналс (2021),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
160,Миньоны: Грювитация (2022),Animation|Adventure|Comedy|Family,веселое
161,Годзилла против Конга (2021),Action|Adventure|Sci-Fi|Thriller,динамичное|напряжённое|приключенческое|футуристическое
162,Морбиус (2022),Action|Adventure|Horror|Sci-Fi,динамичное|приключенческое|страшное|футуристическое
163,Анти-герой (2021),Action|Adventure|Comedy|Sci-Fi,веселое
164,Чудо-женщина 1984 (2020),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
165,Миссия невыполнима: Смертельная расплата. Часть 2 (2025),Action|Adventure|Thriller,динамичное|напряжённое|приключенческое
166,Ёжик в тумане (1975),Animation|Children|Drama|Fantasy,волшебное|лёгкое|семейное|эмоциональное
167,Винни-Пух (1969),Animation|Children|Comedy,веселое
168,Винни-Пух идёт в гости (1971),Animation|Children|Comedy,веселое
169,Винни-Пух и день забот (1972),Animation|Children|Comedy,веселое
170,Три богатыря и Конь на троне (2017),Animation|Adventure|Children|Comedy|Fantasy,веселое
171,Три богатыря и принцесса Египта (2020),Animation|Adventure|Children|Comedy|Fantasy,веселое
172,Маша и Медведь (2009),Animation|Children|Comedy,веселое
173,Лунтик (2006),Animation|Children|Comedy,веселое
174,"Ну, погоди! (1969)",Animation|Children|Comedy,веселое
175,Чебурашка (2023),Adventure|Children|Comedy|Family,веселое
176,Семь самураев (1954),Action|Adventure|Drama,динамичное|приключенческое|эмоциональное
177,Рашомон (1950),Crime|Drama|Mystery,загадочное|напряжённое|эмоциональное
178,Унесённые призраками (2001),Animation|Adventure|Children|Fantasy|Mystery,волшебное|загадочное|лёгкое|приключенческое|семейное
179,Ходячий замок (2004),Animation|Adventure|Children|Fantasy|Romance,волшебное|лёгкое|приключенческое|романтическое|семейное
180,Мой сосед Тоторо (1988),Animation|Children|Fantasy,волшебное|лёгкое|семейное
181,Крёстный отец: Трилогия (1972-1990),Crime|Drama,напряжённое|эмоциональное
182,Властелин колец: Две крепости (2002),Adventure|Fantasy,волшебное|приключенческое
183,Властелин колец: Возвращение короля (2003),Adventure|Fantasy|War,волшебное|драматичное|приключенческое
184,Гарри Поттер и Орден Феникса (2007),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
185,Гарри Поттер и Принц-полукровка (2009),Adventure|Children|Fantasy,волшебное|приключенческое|семейное
186,Гарри Поттер и Дары Смерти. Часть 1 (2010),Adventure|Children|Fantasy|Mystery,волшебное|загадочное|приключенческое|семейное
187,Гарри Поттер и Дары Смерти. Часть 2 (2011),Adventure|Children|Fantasy|Mystery,волшебное|загадочное|приключенческое|семейное
188,Мстители (2012),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
189,Мстители: Эра Альтрона (2015),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
190,Мстители: Война бесконечности (2018),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
191,Мстители: Финал (2019),Action|Adventure|Drama|Sci-Fi,динамичное|приключенческое|футуристическое|эмоциональное
192,Железный человек (2008),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
193,Железный человек 2 (2010),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
194,Железный человек 3 (2013),Action|Adventure|Sci-Fi,динамичное|приключенческое|футуристическое
195,Тор (2011),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
196,Тор 2: Царство тьмы (2013),Action|Adventure|Fantasy|Sci-Fi,волшебное|динамичное|приключенческое|футуристическое
197,Тор: Рагнарёк (2017),Action|Adventure|Comedy|Fantasy|Sci-Fi,веселое
198,Стражи Галактики (2014),Action|Adventure|Comedy|Sci-Fi,веселое
199,Стражи Галактики 2 (2017),Action|Adventure|Comedy|Sci-Fi,веселое
200,Стражи Галактики 3 (2023),Action|Adventure|Comedy|Drama|Sci-Fi,веселое
