product_id,title,genres
99,"Человек-паук: Нет пути домой (2021)","Action|Adventure|Fantasy|Sci-Fi"
100,"Всё везде и сразу (2022)","Action|Adventure|Comedy|Sci-Fi"
101,"Аквамен (2018)","Action|Adventure|Fantasy|Sci-Fi"
102,"Чёрная вдова (2021)","Action|Adventure|Sci-Fi|Thriller"
103,"Ночной кошмар перед Рождеством (1993)","Animation|Comedy|Fantasy|Musical"
104,"Тихое место 2 (2020)","Drama|Horror|Sci-Fi|Thriller"
105,"Крик (2022)","Horror|Mystery|Thriller"
106,"Крик VI (2023)","Horror|Mystery|Thriller"
107,"Нет (2022)","Horror|Mystery|Sci-Fi|Thriller"
108,"Сияние (1980)","Drama|Horror"
109,"Чужие (1986)","Action|Adventure|Horror|Sci-Fi"
110,"Терминатор (1984)","Action|Sci-Fi"
111,"Доктор Стрэндж: В мультивселенной безумия (2022)","Action|Adventure|Fantasy|Horror|Sci-Fi"
112,"Тор: Любовь и гром (2022)","Action|Adventure|Comedy|Fantasy|Sci-Fi"
113,"День сурка (1993)","Comedy|Fantasy|Romance"
114,"Миссия невыполнима: Смертельная расплата. Часть 1 (2023)","Action|Adventure|Thriller"
115,"Чёрная Пантера: Ваканда навеки (2022)","Action|Adventure|Drama"
116,"Молчание ягнят (1991)","Crime|Drama|Thriller"
117,"Таксист (1976)","Crime|Drama"
118,"Один дома (1990)","Children|Comedy"
119,"Один дома 2: Затерянный в Нью-Йорке (1992)","Children|Comedy"
120,"Кролик Питер (2018)","Animation|Comedy|Family"
121,"Холодное сердце (2013)","Animation|Adventure|Children|Comedy|Fantasy|Musical|Romance"
122,"Холодное сердце 2 (2019)","Animation|Adventure|Children|Comedy|Fantasy|Musical"
123,"Рапунцель: Запутанная история (2010)","Animation|Adventure|Children|Comedy|Fantasy|Musical|Romance"
124,"Моана (2016)","Animation|Adventure|Children|Comedy|Fantasy|Musical"
125,"Головоломка (2015)","Animation|Adventure|Children|Comedy|Drama|Family|Fantasy"
126,"Вверх (2009)","Animation|Adventure|Children|Comedy|Drama"
127,"Рататуй (2007)","Animation|Children|Comedy|Drama"
128,"Король Лев (1994)","Animation|Children|Drama|Musical|Romance"
129,"Король Лев (2019)","Adventure|Children|Drama|Musical"
130,"Аладдин (1992)","Animation|Adventure|Children|Comedy|Fantasy|Musical|Romance"
131,"Аладдин (2019)","Adventure|Comedy|Family|Fantasy|Musical|Romance"
132,"Мулан (1998)","Animation|Adventure|Children|Drama|Musical|Romance|War"
133,"Мулан (2020)","Action|Adventure|Drama|Family|Fantasy|War"
134,"Красавица и чудовище (1991)","Animation|Children|Fantasy|Musical|Romance"
135,"Красавица и чудовище (2017)","Adventure|Family|Fantasy|Musical|Romance"
136,"Русалочка (1989)","Animation|Children|Fantasy|Musical|Romance"
137,"Русалочка (2023)","Adventure|Family|Fantasy|Musical|Romance"
138,"Спящая красавица (1959)","Animation|Children|Fantasy|Musical|Romance"
139,"Золушка (1950)","Animation|Children|Fantasy|Musical|Romance"
140,"Золушка (2015)","Children|Drama|Fantasy|Romance"
141,"Хроники Нарнии: Лев, колдунья и волшебный шкаф (2005)","Adventure|Children|Fantasy"
142,"Хроники Нарнии: Принц Каспиан (2008)","Adventure|Children|Fantasy"
143,"Хроники Нарнии: Покоритель зари (2010)","Adventure|Children|Fantasy"
144,"Аватар: Путь воды (2022)","Action|Adventure|Drama|Sci-Fi"
145,"Топ Ган: Мэверик (2022)","Action|Drama"
146,"Элвис (2022)","Biography|Drama|Musical"
147,"Холоп (2019)","Comedy"
148,"Т-34 (2018)","Action|Drama|War"
149,"Майор Гром: Чумной Доктор (2021)","Action|Crime|Thriller"
150,"Последний богатырь (2017)","Adventure|Comedy|Fantasy"
151,"Лёд (2018)","Drama|Romance|Sport"
152,"Движение вверх (2017)","Drama|Sport"
153,"Собибор (2018)","Drama|War|History"
154,"Солнцепёк (2023)","Comedy|Drama"
155,"Наследники земли (2023)","Drama|Romance"
156,"Москва слезам не верит (1980)","Drama|Romance"
157,"Служебный роман (1977)","Comedy|Romance"
158,"Шан-Чи и легенда десяти колец (2021)","Action|Adventure|Fantasy"
159,"Этерналс (2021)","Action|Adventure|Fantasy|Sci-Fi"
160,"Миньоны: Грювитация (2022)","Animation|Adventure|Comedy|Family"
161,"Годзилла против Конга (2021)","Action|Adventure|Sci-Fi|Thriller"
162,"Морбиус (2022)","Action|Adventure|Horror|Sci-Fi"
163,"Анти-герой (2021)","Action|Adventure|Comedy|Sci-Fi"
164,"Чудо-женщина 1984 (2020)","Action|Adventure|Fantasy|Sci-Fi"
165,"Миссия невыполнима: Смертельная расплата. Часть 2 (2025)","Action|Adventure|Thriller"
166,"Ёжик в тумане (1975)","Animation|Children|Drama|Fantasy"
167,"Винни-Пух (1969)","Animation|Children|Comedy"
168,"Винни-Пух идёт в гости (1971)","Animation|Children|Comedy"
169,"Винни-Пух и день забот (1972)","Animation|Children|Comedy"
170,"Три богатыря и Конь на троне (2017)","Animation|Adventure|Children|Comedy|Fantasy"
171,"Три богатыря и принцесса Египта (2020)","Animation|Adventure|Children|Comedy|Fantasy"
172,"Маша и Медведь (2009)","Animation|Children|Comedy"
173,"Лунтик (2006)","Animation|Children|Comedy"
174,"Ну, погоди! (1969)","Animation|Children|Comedy"
175,"Чебурашка (2023)","Adventure|Children|Comedy|Family"
176,"Семь самураев (1954)","Action|Adventure|Drama"
177,"Рашомон (1950)","Crime|Drama|Mystery"
178,"Унесённые призраками (2001)","Animation|Adventure|Children|Fantasy|Mystery"
179,"Ходячий замок (2004)","Animation|Adventure|Children|Fantasy|Romance"
180,"Мой сосед Тоторо (1988)","Animation|Children|Fantasy"
181,"Крёстный отец: Трилогия (1972-1990)","Crime|Drama"
182,"Властелин колец: Две крепости (2002)","Adventure|Fantasy"
183,"Властелин колец: Возвращение короля (2003)","Adventure|Fantasy|War"
184,"Гарри Поттер и Орден Феникса (2007)","Adventure|Children|Fantasy"
185,"Гарри Поттер и Принц-полукровка (2009)","Adventure|Children|Fantasy"
186,"Гарри Поттер и Дары Смерти. Часть 1 (2010)","Adventure|Children|Fantasy|Mystery"
187,"Гарри Поттер и Дары Смерти. Часть 2 (2011)","Adventure|Children|Fantasy|Mystery"
188,"Мстители (2012)","Action|Adventure|Sci-Fi"
189,"Мстители: Эра Альтрона (2015)","Action|Adventure|Sci-Fi"
190,"Мстители: Война бесконечности (2018)","Action|Adventure|Sci-Fi"
191,"Мстители: Финал (2019)","Action|Adventure|Drama|Sci-Fi"
192,"Железный человек (2008)","Action|Adventure|Sci-Fi"
193,"Железный человек 2 (2010)","Action|Adventure|Sci-Fi"
194,"Железный человек 3 (2013)","Action|Adventure|Sci-Fi"
195,"Тор (2011)","Action|Adventure|Fantasy|Sci-Fi"
196,"Тор 2: Царство тьмы (2013)","Action|Adventure|Fantasy|Sci-Fi"
197,"Тор: Рагнарёк (2017)","Action|Adventure|Comedy|Fantasy|Sci-Fi"
198,"Стражи Галактики (2014)","Action|Adventure|Comedy|Sci-Fi"
199,"Стражи Галактики 2 (2017)","Action|Adventure|Comedy|Sci-Fi"
200,"Стражи Галактики 3 (2023)","Action|Adventure|Comedy|Drama|Sci-Fi"
